method,checkpoint,run_id,task_name,seed,trainable_params,total_params,bottleneck_size,rank,topk,accuracy
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-1-n_epochs-10-seed-0,mnli,0,96027,109537560,1,,,0.6352521650534896
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-1-n_epochs-10-seed-1,mnli,1,96027,109537560,1,,,0.6563423331635252
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-1-n_epochs-10-seed-2,mnli,2,96027,109537560,1,,,0.6481915435557823
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-1-n_epochs-10-seed-3,mnli,3,96027,109537560,1,,,0.6296484971981661
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-1-n_epochs-10-seed-4,mnli,4,96027,109537560,1,,,0.6354559347936831
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-2-n_epochs-10-seed-0,mnli,0,132915,109574448,2,,,0.7225674987264391
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-2-n_epochs-10-seed-1,mnli,1,132915,109574448,2,,,0.6960774325012735
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-2-n_epochs-10-seed-2,mnli,2,132915,109574448,2,,,0.6994396332144677
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-2-n_epochs-10-seed-3,mnli,3,132915,109574448,2,,,0.7235863474274078
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-2-n_epochs-10-seed-4,mnli,4,132915,109574448,2,,,0.7052470708099847
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-4-n_epochs-10-seed-0,mnli,0,206691,109648224,4,,,0.7775853285787061
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-4-n_epochs-10-seed-1,mnli,1,206691,109648224,4,,,0.7745287824758024
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-4-n_epochs-10-seed-2,mnli,2,206691,109648224,4,,,0.7703515028018342
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-4-n_epochs-10-seed-3,mnli,3,206691,109648224,4,,,0.7771777890983189
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-4-n_epochs-10-seed-4,mnli,4,206691,109648224,4,,,0.7834946510443199
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-8-n_epochs-10-seed-0,mnli,0,354243,109795776,8,,,0.8014263881813550
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-8-n_epochs-10-seed-1,mnli,1,354243,109795776,8,,,0.8015282730514519
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-8-n_epochs-10-seed-2,mnli,2,354243,109795776,8,,,0.7984758275109871
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-8-n_epochs-10-seed-3,mnli,3,354243,109795776,8,,,0.7943963321446765
